Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K1123,Overture - Global,4.30E+16,paris charles de gaulle,Advanced,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,0.28,22,0.27,2598,0.009,1.92,0,0,0,5.94,0
K1123,Overture - Global,4.30E+16,cdg paris airport,Advanced,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,0.28,14,0.49,4688,0.003,2.08,0,0,0,6.89,0
K1123,Overture - Global,4.30E+16,cdg airport,Advanced,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,0.28,28,0.37,7379,0.004,2.73,0,0,0,10.41,0
K1123,Overture - Global,4.30E+16,france airport,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.28,71,0.37,5261,0.014,2.68,0,0,0,26.29,0
K1122,Overture - US,4.30E+16,airfare flight,Standard,Unassigned,Unassigned,airfaregeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.28,1,0.61,640,0.002,3.63,0,0,0,0.61,0
K1122,Overture - US,4.30E+16,cheap airline ticket to france,Standard,Unassigned,Unassigned,france,Position 1-4 Bid Strategy,Unassigned,Paused,0.28,4,0.44,60,0.067,2.55,0,0,0,1.76,0
K1123,Overture - Global,4.30E+16,fly to bordeaux,Standard,Unassigned,Unassigned,bordeaux,Position 1-2 Target,Unassigned,Paused,0.29,1,0.2,66,0.015,1.76,0,0,0,0.2,0
K1123,Overture - Global,4.30E+16,flight south of france,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.29,2,0.25,590,0.003,3.21,0,0,0,0.5,0
K1123,Overture - Global,4.30E+16,air france flight information,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.29,5,0.27,947,0.005,3.01,0,0,0,1.36,0
K1123,Overture - Global,4.30E+16,cheap flight to nice france,Standard,Unassigned,Unassigned,nice,Position 1-2 Target,Unassigned,Paused,0.29,8,0.31,480,0.017,2.48,0,0,0,2.51,0
K1123,Overture - Global,4.30E+16,flight france marseille,Advanced,Unassigned,Unassigned,marseille,Position 1-2 Target,Unassigned,Paused,0.29,6,0.45,119,0.05,1.81,0,0,0,2.67,0
K1123,Overture - Global,4.30E+16,la rochelle flight,Standard,Unassigned,Unassigned,larochelle,Position 1-2 Target,Unassigned,Paused,0.29,14,0.19,598,0.023,2.21,0,0,0,2.69,0
K1123,Overture - Global,4.30E+16,toulouse cheap airfare,Standard,Unassigned,Unassigned,toulouse,Position 1-2 Target,Unassigned,Paused,0.29,1,3.76,42,0.024,2.88,0,0,0,3.76,0
K1123,Overture - Global,4.30E+16,paris france airport,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.29,18,0.28,1443,0.013,2.7,0,0,0,4.97,0
K1123,Overture - Global,4.30E+16,los angeles to paris flight,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.29,13,0.73,200,0.065,3.1,0,0,0,9.52,0
K1123,Overture - Global,4.30E+16,air france air line,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.29,27,0.39,6422,0.004,2.57,0,0,0,10.54,0
K1123,Overture - Global,4.30E+16,air france flight schedule,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.29,30,0.39,5068,0.006,1.43,0,0,0,11.72,0
K1123,Overture - Global,4.30E+16,fly to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.29,28,0.62,991,0.028,6.25,0,0,0,17.31,0
K1122,Overture - US,4.30E+16,nuremberg airport,Advanced,Unassigned,Unassigned,nuremberg,Position 5-10 Bid Strategy,Unassigned,Paused,0.29,2,0.78,213,0.009,1.94,0,0,0,1.55,0
K1122,Overture - US,4.30E+16,air plain ticket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.29,5,0.57,696,0.007,3.05,0,0,0,2.85,0
K1122,Overture - US,4.30E+16,france airport,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.29,12,0.39,1345,0.009,2.89,0,0,0,4.67,0
K1123,Overture - Global,4.30E+16,trip in france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.3,3,0.25,310,0.01,2.66,0,0,0,0.75,0
K1123,Overture - Global,4.30E+16,france travel agency,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.3,7,0.28,619,0.011,3.3,0,0,0,1.95,0
K1123,Overture - Global,4.30E+16,france travel information,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.3,5,0.59,879,0.006,3.14,0,0,0,2.94,0
K1122,Overture - US,4.30E+16,france air line,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.3,3,0.35,266,0.011,1.99,0,0,0,1.06,0
K1122,Overture - US,4.30E+16,greece cheap ticket,Standard,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,0.3,38,0.86,816,0.047,2.64,0,0,0,32.82,0
K1122,Overture - US,4.30E+16,paris tourism,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.3,76,0.66,3682,0.021,2.14,0,0,0,50.22,0
K1123,Overture - Global,4.30E+16,bastia flight,Standard,Unassigned,Unassigned,bastia,Position 1-2 Target,Unassigned,Paused,0.31,1,0.31,290,0.003,2.05,0,0,0,0.31,0
K1123,Overture - Global,4.30E+16,avignon flight,Standard,Unassigned,Unassigned,avignon,Position 1-2 Target,Unassigned,Paused,0.31,3,0.33,315,0.01,2.2,0,0,0,0.98,0
K1122,Overture - US,4.30E+16,cheap trip to france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.31,5,0.51,58,0.086,3.85,0,0,0,2.56,0
K1122,Overture - US,4.30E+16,airline ticketing,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.31,6,0.48,1206,0.005,4.1,0,0,0,2.85,0
K1122,Overture - US,4.30E+16,paris flight deal,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.31,8,0.98,84,0.095,2.07,0,0,0,7.8,0
K1122,Overture - US,4.30E+16,cheap airfare to frankfurt,Advanced,Unassigned,Unassigned,frankfurt,Position 5-10 Bid Strategy,Unassigned,Paused,0.31,19,0.52,220,0.086,2,0,0,0,9.94,0
K1122,Overture - US,4.30E+16,cheap european airfare,Advanced,Unassigned,Unassigned,europe,Position 5-10 Bid Strategy,Unassigned,Paused,0.31,33,0.64,1019,0.032,1.76,0,0,0,21.21,0
K1123,Overture - Global,4.30E+16,newark to paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.33,3,0.26,276,0.011,2.66,0,0,0,0.77,0
K1123,Overture - Global,4.30E+16,new york to lyon,Advanced,Unassigned,Unassigned,lyon,Position 1-2 Target,Unassigned,Paused,0.33,6,0.3,1315,0.005,3.07,0,0,0,1.8,0
K1122,Overture - US,4.30E+16,chicago to venice,Advanced,Unassigned,Unassigned,chicago,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,1,0.13,190,0.005,4.66,0,0,0,0.13,0
K1122,Overture - US,4.30E+16,air fare prices,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,3,0.4,297,0.01,3.84,0,0,0,1.19,0
K1122,Overture - US,4.30E+16,air line ticket cheap,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,3,0.65,907,0.003,3.59,0,0,0,1.96,0
K1122,Overture - US,4.30E+16,airline ticket web site,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,5,0.92,673,0.007,5.64,0,0,0,4.6,0
K1122,Overture - US,4.30E+16,air ticket to paris,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.33,7,0.8,187,0.037,1.96,0,0,0,5.59,0
K1122,Overture - US,4.30E+16,airline ticket cheap flight,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,6,1.34,9177,0.001,3.62,0,0,0,8.06,0
K1122,Overture - US,4.30E+16,airline ticket cheap prices,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,41,0.27,58738,0.001,1.04,0,0,0,10.95,0
K1122,Overture - US,4.30E+16,discount airfare to italy,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Unassigned,Paused,0.33,29,0.69,413,0.07,1.72,0,0,0,20.04,0
K1123,Overture - Global,4.30E+16,cheap flight to perpignan,Standard,Unassigned,Unassigned,perpignan,Position 1-2 Target,Unassigned,Paused,0.34,2,0.38,74,0.027,1.82,0,0,0,0.76,0
K1123,Overture - Global,4.30E+16,clermont ferrand flight,Standard,Unassigned,Unassigned,clermont,Position 1-2 Target,Unassigned,Paused,0.35,2,0.53,300,0.007,2.37,0,0,0,1.05,0
K1123,Overture - Global,4.30E+16,flight france nice,Advanced,Unassigned,Unassigned,flight,Position 1-2 Target,Unassigned,Paused,0.35,22,0.75,681,0.032,2.47,0,0,0,16.56,0
K1122,Overture - US,4.30E+16,cologne airport,Advanced,Unassigned,Unassigned,cologne,Position 5-10 Bid Strategy,Unassigned,Paused,0.35,2,0.23,294,0.007,2.66,0,0,0,0.45,0
K1122,Overture - US,4.30E+16,international airfare deal,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.35,3,0.52,245,0.012,2.5,0,0,0,1.55,0
K1122,Overture - US,4.30E+16,airline ticket to paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.35,9,0.79,105,0.086,1.98,0,0,0,7.1,0
K1123,Overture - Global,4.30E+16,air ticket nice,Advanced,Unassigned,Unassigned,nice,Position 1-2 Target,Unassigned,Paused,0.36,1,0.44,197,0.005,1.23,0,0,0,0.44,0
K1123,Overture - Global,4.30E+16,paris flight prices,Advanced,Unassigned,Unassigned,flight,Position 1-2 Target,Unassigned,Paused,0.36,4,0.49,226,0.018,2.5,0,0,0,1.95,0
K1123,Overture - Global,4.30E+16,low cost airline france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.36,8,0.36,1225,0.007,3.54,0,0,0,2.86,0
K1123,Overture - Global,4.30E+16,south france travel,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.36,19,0.66,837,0.023,1.5,0,0,0,12.61,0
K1123,Overture - Global,4.30E+16,cheapest flight to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.36,29,0.49,568,0.051,1.92,0,0,0,14.19,0
K1123,Overture - Global,4.30E+16,visit paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.36,37,0.4,3770,0.01,1.93,0,0,0,14.67,0
K1123,Overture - Global,4.30E+16,lourdes flight,Standard,Unassigned,Unassigned,lourdes,Position 1-2 Target,Unassigned,Paused,0.36,54,0.39,993,0.054,1.8,0,0,0,20.81,0
K1122,Overture - US,4.30E+16,stuttgart airport,Advanced,Unassigned,Unassigned,stuttgart,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,1,0.33,711,0.001,3.9,0,0,0,0.33,0
K1122,Overture - US,4.30E+16,international travel airfare,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,1,0.48,245,0.004,2.88,0,0,0,0.48,0
K1122,Overture - US,4.30E+16,munich airline,Advanced,Unassigned,Unassigned,munich,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,2,0.25,1584,0.001,2.19,0,0,0,0.5,0
K1122,Overture - US,4.30E+16,air travel rate,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,1,0.51,537,0.002,3.76,0,0,0,0.51,0
K1122,Overture - US,4.30E+16,airline ticket venice,Advanced,Unassigned,Unassigned,venice,Position 5-10 Bid Strategy,Unassigned,Unavailable,0.36,1,0.51,60,0.017,3.6,0,0,0,0.51,0
K1122,Overture - US,4.30E+16,air fair ticket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,2,0.43,589,0.003,3.35,0,0,0,0.85,0
K1122,Overture - US,4.30E+16,international discount travel,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,7,0.71,1451,0.005,2.46,0,0,0,4.97,0
K1122,Overture - US,4.30E+16,discount airfare germany,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,16,0.73,404,0.04,2.17,0,0,0,11.68,0
K1122,Overture - US,4.30E+16,cheap airfare to greece,Advanced,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,30,0.8,435,0.069,1.96,0,0,0,23.99,0
K1122,Overture - US,4.30E+16,cheap airfare to italy,Advanced,Unassigned,Unassigned,italy,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,79,0.78,940,0.084,1.55,0,0,0,61.99,0
K1122,Overture - US,4.30E+16,airfare to spain,Advanced,Unassigned,Unassigned,spain,Position 5-10 Bid Strategy,Unassigned,Paused,0.36,69,1.02,837,0.082,1.38,0,0,0,70.54,0
K1123,Overture - Global,4.30E+16,travel to montpellier,Standard,Unassigned,Unassigned,montpellier,Position 1-2 Target,Unassigned,Paused,0.38,1,0.44,366,0.003,1.56,0,0,0,0.44,0
K1123,Overture - Global,4.30E+16,air europe france travel,Standard,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,2,0.41,1224,0.002,1.65,0,0,0,0.83,0
K1123,Overture - Global,4.30E+16,business france in travel,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,5,0.31,415,0.012,1.59,0,0,0,1.53,0
K1123,Overture - Global,4.30E+16,paris france tourism,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.38,7,0.4,2814,0.003,3.78,0,0,0,2.77,0
K1123,Overture - Global,4.30E+16,paris airfare special,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.38,6,0.51,76,0.079,3.14,0,0,0,3.04,0
K1123,Overture - Global,4.30E+16,cheap trip to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,10,0.4,399,0.025,2.84,0,0,0,3.96,0
K1123,Overture - Global,4.30E+16,europe france travel,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,12,0.38,9077,0.001,1.25,0,0,0,4.54,0
K1123,Overture - Global,4.30E+16,low cost flight to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.38,9,0.77,482,0.019,2.52,0,0,0,6.95,0
K1123,Overture - Global,4.30E+16,air cheap france ticket,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.38,18,0.61,1328,0.014,2.46,0,0,0,10.9,0
K1122,Overture - US,4.30E+16,airline ticket reservation online,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,1,0.16,132,0.008,3.11,0,0,0,0.16,0
K1122,Overture - US,4.30E+16,cheap air fare to france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.38,2,0.43,121,0.017,2.66,0,0,0,0.86,0
K1122,Overture - US,4.30E+16,airline travel fare,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,3,0.36,5638,0.001,2.31,0,0,0,1.09,0
K1122,Overture - US,4.30E+16,airfare geneva,Advanced,Unassigned,Unassigned,geneva,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,4,0.71,85,0.047,2.39,0,0,0,2.85,0
K1122,Overture - US,4.30E+16,airline search,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,5,0.61,1884,0.003,4.63,0,0,0,3.03,0
K1122,Overture - US,4.30E+16,air fare to france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.38,6,0.53,451,0.013,1.74,0,0,0,3.19,0
K1122,Overture - US,4.30E+16,international air flight,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,10,0.57,546,0.018,2.98,0,0,0,5.68,0
K1122,Overture - US,4.30E+16,international fare,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,16,0.87,871,0.018,4.04,0,0,0,13.99,0
K1122,Overture - US,4.30E+16,greece airline,Advanced,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,0.38,44,0.43,2693,0.016,4.24,0,0,0,19.12,0
K1123,Overture - Global,4.30E+16,discounted flight paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.39,2,0.48,146,0.014,2.22,0,0,0,0.95,0
K1123,Overture - Global,4.30E+16,travel in paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.39,10,0.38,712,0.014,2.07,0,0,0,3.79,0
K1122,Overture - US,4.30E+16,airplane ticket deal,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,3,0.64,138,0.022,2.29,0,0,0,1.92,0
K1122,Overture - US,4.30E+16,airline athens ticket,Advanced,Unassigned,Unassigned,athens,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,5,0.83,125,0.04,2.66,0,0,0,4.14,0
K1122,Overture - US,4.30E+16,airline milan ticket,Advanced,Unassigned,Unassigned,milan,Position 5-10 Bid Strategy,Unassigned,Unavailable,0.39,5,0.9,74,0.068,3.83,0,0,0,4.51,0
K1122,Overture - US,4.30E+16,international ticket,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,38,0.67,2118,0.018,3.83,0,0,0,25.46,0
K1122,Overture - US,4.30E+16,cheap airfare to germany,Advanced,Unassigned,Unassigned,germany,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,57,0.71,866,0.066,1.56,0,0,0,40.26,0
K1122,Overture - US,4.30E+16,india cheap ticket,Standard,Unassigned,Unassigned,india,Position 5-10 Bid Strategy,Unassigned,Paused,0.39,302,0.69,5144,0.059,2.42,0,0,0,207.24,0
K1122,Overture - US,4.30E+16,air line flight,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.4,1,0.33,590,0.002,3.49,0,0,0,0.33,0
K1122,Overture - US,4.30E+16,cheap airfare to france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.4,4,0.43,274,0.015,2.22,0,0,0,1.74,0
K1122,Overture - US,4.30E+16,airline flight prices,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.4,6,0.53,789,0.008,3.05,0,0,0,3.15,0
K1122,Overture - US,4.30E+16,discount airfare spain,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Unassigned,Paused,0.4,11,1.09,241,0.046,1.45,0,0,0,11.96,0
K1123,Overture - Global,4.30E+16,paris air,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.41,40,0.43,4182,0.01,4.22,0,0,0,17.08,0
K1123,Overture - Global,4.30E+16,air france vacation,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.41,97,0.74,5132,0.019,1.65,0,0,0,72.05,0
K1122,Overture - US,4.30E+16,cheap flight special,Advanced,Unassigned,Unassigned,flight,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,1,0.41,87,0.012,3.09,0,0,0,0.41,0
K1122,Overture - US,4.30E+16,airline ticket pricing,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,1,0.41,662,0.002,5.24,0,0,0,0.41,0
K1122,Overture - US,4.30E+16,air fare rate,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,2,1,200,0.01,3.13,0,0,0,2,0
K1122,Overture - US,4.30E+16,airfare cheap discount international,Standard,Unassigned,Unassigned,airfaregeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,14,1.23,901,0.016,2.93,0,0,0,17.17,0
K1122,Overture - US,4.30E+16,greece ticket,Standard,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Unassigned,Paused,0.41,37,0.74,864,0.043,2.39,0,0,0,27.31,0
K1123,Overture - Global,4.30E+16,budget travel france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.43,3,0.48,415,0.007,3.07,0,0,0,1.44,0
K1123,Overture - Global,4.30E+16,bargain flight to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.43,6,0.45,148,0.041,2.17,0,0,0,2.7,0
K1122,Overture - US,4.30E+16,air cheap france ticket,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.43,5,0.65,368,0.014,2.54,0,0,0,3.25,0
K1122,Overture - US,4.30E+16,air travel web site,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.43,5,0.83,929,0.005,3.74,0,0,0,4.15,0
K1122,Overture - US,4.30E+16,air ticket sale,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.43,7,1.04,683,0.01,3.25,0,0,0,7.29,0
K1122,Overture - US,4.30E+16,cheap fare to paris,Standard,Unassigned,Unassigned,paris,Position 1-4 Bid Strategy,Unassigned,Paused,0.43,12,0.81,173,0.069,4.88,0,0,0,9.71,0
K1122,Overture - US,4.30E+16,cheap airfare travel,Advanced,Unassigned,Unassigned,airfare,Position 5-10 Bid Strategy,Unassigned,Paused,0.44,2,0.88,4240,0.001,1.24,0,0,0,1.76,0
K1122,Overture - US,4.30E+16,air travel prices,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.44,2,0.93,868,0.002,3.19,0,0,0,1.85,0
K1122,Overture - US,4.30E+16,cheap flight paris london,Advanced,Unassigned,Unassigned,paris,Position 5-10 Bid Strategy,Unassigned,Unavailable,0.44,6,0.35,627,0.01,3.72,0,0,0,2.1,0
K1122,Overture - US,4.30E+16,berlin airline,Advanced,Unassigned,Unassigned,berlin,Position 5-10 Bid Strategy,Unassigned,Paused,0.44,11,0.4,990,0.011,4.94,0,0,0,4.4,0
K1122,Overture - US,4.30E+16,cheap paris vacation,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.44,8,0.74,140,0.057,2.62,0,0,0,5.91,0
K1122,Overture - US,4.30E+16,cheap flight to paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.44,15,0.97,375,0.04,2.15,0,0,0,14.51,0
K1123,Overture - Global,4.30E+16,chicago to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.45,14,0.43,2315,0.006,4.48,0,0,0,5.99,0
K1123,Overture - Global,4.30E+16,air france reservation online,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.45,29,0.41,6604,0.004,1.93,0,0,0,11.92,0
K1122,Overture - US,4.30E+16,budget travel france,Standard,Unassigned,Unassigned,france,Position 2-5 Bid Strategy,Unassigned,Paused,0.45,1,0.41,111,0.009,4.31,0,0,0,0.41,0
K1122,Overture - US,4.30E+16,paris airfare deal,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.45,1,0.6,90,0.011,1.99,0,0,0,0.6,0
K1122,Overture - US,4.30E+16,boston to london,Advanced,Unassigned,Unassigned,boston,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,2,0.51,70,0.029,2.05,0,0,0,1.03,0
K1122,Overture - US,4.30E+16,athens airline,Advanced,Unassigned,Unassigned,athens,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,3,0.45,215,0.014,2.92,0,0,0,1.35,0
K1122,Overture - US,4.30E+16,air fare deal,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,4,0.53,624,0.006,4.5,0,0,0,2.1,0
K1122,Overture - US,4.30E+16,air fare ticket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,17,1.22,2114,0.008,3.59,0,0,0,20.67,0
K1122,Overture - US,4.30E+16,india cheap airfare,Standard,Unassigned,Unassigned,india,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,60,0.66,1504,0.04,3.09,0,0,0,39.59,0
K1122,Overture - US,4.30E+16,international air travel,Standard,Unassigned,Unassigned,internationalgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.45,81,1.03,4047,0.02,2.74,0,0,0,83.6,0
K1122,Overture - US,4.30E+16,discount paris vacation,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.46,2,0.73,112,0.018,3.45,0,0,0,1.45,0
K1122,Overture - US,4.30E+16,air travel discount airline ticket,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.46,6,0.53,1951,0.003,3.69,0,0,0,3.19,0
K1122,Overture - US,4.30E+16,airplane fare,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.46,8,0.65,1681,0.005,3.06,0,0,0,5.16,0
K1122,Overture - US,4.30E+16,trip to paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.46,11,0.65,172,0.064,2.74,0,0,0,7.15,0
K1122,Overture - US,4.30E+16,air france ticket,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,0.46,18,0.6,1013,0.018,1.93,0,0,0,10.75,0
K1122,Overture - US,4.30E+16,air travel fare,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Unassigned,Paused,0.46,20,1.05,2904,0.007,3.29,0,0,0,20.99,0
K1122,Overture - US,4.30E+16,flight to rome italy,Advanced,Unassigned,Unassigned,flight,Position 5-10 Bid Strategy,Unassigned,Paused,0.46,59,0.57,530,0.111,1.77,0,0,0,33.5,0
K1123,Overture - Global,4.30E+16,caen flight,Standard,Unassigned,Unassigned,caen,Position 1-2 Target,Unassigned,Paused,0.48,7,0.45,480,0.015,1.73,0,0,0,3.17,0
K1123,Overture - Global,4.30E+16,travel to marseille,Standard,Unassigned,Unassigned,marseille,Position 1-2 Target,Unassigned,Paused,0.48,8,0.52,2417,0.003,2.1,0,0,0,4.14,0
K1123,Overture - Global,4.30E+16,discount france travel,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.48,6,0.87,322,0.019,2.34,0,0,0,5.24,0
