Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K1122,Overture - US,4.30E+16,cheap ticket to europe,Advanced,Unassigned,Unassigned,europe,Position 1-4 Bid Strategy,Unassigned,Paused,0.95,542,0.95,15797,0.034,2.21,0.004,257.14,4380.9,514.27,2
K1175,Google - Global,4.30E+16,nice flights,Broad,Air France Global Campaign,Nice,nice,Position 1- 3,Unassigned,Unavailable,2.5,65,1.35,4480,0.015,1.48,0.015,87.43,742.05,87.43,1
K1175,Google - Global,4.30E+16,travel to nice,Broad,Air France Global Campaign,Nice,nice,Position 1- 3,Unassigned,Unavailable,8.75,43,2.96,2374,0.018,1.44,0.023,127.21,1060.8,127.21,1
K2615,Yahoo - US,4.30E+16,airfrance tickets,Advanced,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,6.25,74,1.12,1669,0.044,1.72,0.014,83,676.6,83,1
K435,Google - US,4.30E+16,france air tickets,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,36,1.53,296,0.122,1.11,0.028,55.14,442.85,55.14,1
K1123,Overture - Global,4.30E+16,charles de gaulle airport,Standard,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,0.26,104,0.23,22722,0.005,1.85,0.01,23.49,187,23.49,1
K1122,Overture - US,4.30E+16,airline ticket to italy,Advanced,Unassigned,Unassigned,italy,Position 1-4 Bid Strategy,Unassigned,Paused,1,142,0.92,5875,0.024,2.01,0.007,130.62,1025.1,130.62,1
K435,Google - US,4.30E+16,paris fares,Broad,Geo Targeted Seattle,Seattle to Paris Sale,uncategorized,Position 2-5 Bid Strategy,Unassigned,Paused,5,9,3.39,123,0.073,1.62,0.111,30.54,236.3,30.54,1
K1175,Google - Global,4.30E+16,paris tickets,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unassigned,Unavailable,2.5,237,1.95,23540,0.01,1.79,0.021,92.49,3512.2,462.45,5
K435,Google - US,4.30E+16,nice fares,Broad,French Destinations,Nice,uncategorized,Position 2-5 Bid Strategy,Unassigned,Live,10,22,2.54,126,0.175,1.1,0.046,55.94,416.5,55.94,1
K1123,Overture - Global,4.30E+16,flight to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,1.25,5393,0.84,200030,0.027,1.48,0.005,189.4,33199.3,4545.64,24
K1122,Overture - US,4.30E+16,paris airport,Standard,Unassigned,Unassigned,paris,Position 1-4 Bid Strategy,Unassigned,Paused,0.36,79,0.36,6323,0.013,2.77,0.013,28.5,207.4,28.5,1
K2615,Yahoo - US,4.30E+16,paris cheap ticket,Standard,Paris & France Terms,Paris,uncategorized,,Unassigned,Live,6.25,101,1.41,748,0.135,1,0.01,142.6,1016.6,142.6,1
K1123,Overture - Global,4.30E+16,flight to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.81,294,1.04,23579,0.013,1.58,0.007,152.21,2142,304.42,2
K2003,MSN - Global,4.30E+16,travel in paris,Broad,Air France Brand & French Destinations,Paris,uncategorized,Position 2-5 Bid Strategy,Unassigned,Deactivated,0,150,1.76,4798,0.031,2.95,0.007,264.26,1856.4,264.26,1
K435,Google - US,4.30E+16,paris cheap flights,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,6.25,238,1.92,1080,0.22,1.25,0.029,65.21,3175.6,456.46,7
